GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
65,2026.03.02,Black,Maxi_691995,Loss,600,Maxi_691995 won on time,48,Endgame,g8f7,-393,-9998,9605,1000,Blunder
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,44,Middlegame,f6e4,170,-229,399,399,Blunder
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,48,Middlegame,f7f5,201,-264,465,465,Blunder
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,62,Middlegame,g7g6,142,-378,520,520,Blunder
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,70,Middlegame,f4g2,23,-523,546,546,Blunder
66,2026.03.02,Black,sparky7192,Win,180+2,KatsMeow23 won on time,110,Endgame,e1c2,9995,1088,8907,1000,Blunder
67,2026.03.02,Black,Ahmedfoxk,Loss,180+2,Ahmedfoxk won on time,10,Opening,f8c5,-24,-378,354,354,Blunder
67,2026.03.02,Black,Ahmedfoxk,Loss,180+2,Ahmedfoxk won on time,28,Middlegame,g7g6,14,-375,389,389,Blunder
67,2026.03.02,Black,Ahmedfoxk,Loss,180+2,Ahmedfoxk won on time,40,Middlegame,a8f8,-808,-9998,9190,1000,Blunder
68,2026.03.02,White,Pranav_Chauhan1,Loss,180+2,Pranav_Chauhan1 won on time,55,Endgame,d1h1,-65,-391,326,326,Blunder
70,2026.02.28,White,REALdtdamazing,Win,1/86400,KatsMeow23 won by checkmate,11,Opening,f3e5,146,-193,339,339,Blunder
70,2026.02.28,White,REALdtdamazing,Win,1/86400,KatsMeow23 won by checkmate,37,Middlegame,d3e5,442,121,321,321,Blunder
73,2026.03.03,Black,Polok_13,Win,180+2,KatsMeow23 won by resignation,42,Endgame,d8b6,462,149,313,313,Blunder
74,2026.03.03,White,BossJaben,Loss,180+2,BossJaben won on time,11,Opening,f2f4,159,-237,396,396,Blunder
74,2026.03.03,White,BossJaben,Loss,180+2,BossJaben won on time,21,Middlegame,e1d1,-61,-447,386,386,Blunder
74,2026.03.03,White,BossJaben,Loss,180+2,BossJaben won on time,23,Middlegame,e5e6,190,-639,829,829,Blunder
